iter,ep_rew,ep_len,success,collisions,pi_loss,v_loss,entropy,approx_kl,clip_frac,sec
174,-118.51,571.5,0.16,25.5,-0.0013,86.2280,-0.5890,0.0035,0.012,158
175,-116.26,573.1,0.15,24.7,-0.0003,14.3894,-0.5552,0.0033,0.010,167
176,-114.62,574.6,0.14,24.0,-0.0007,10.6172,-0.5476,0.0037,0.022,177
177,-109.54,576.2,0.13,22.4,-0.0010,0.3456,-0.5596,0.0072,0.045,187
178,-106.03,577.4,0.13,21.4,-0.0024,0.1506,-0.5613,0.0077,0.047,196
179,-120.13,578.7,0.12,24.9,0.0047,212.9636,-0.6411,0.0193,0.127,206
180,-114.31,575.1,0.14,23.5,-0.0002,5.3448,-0.5719,0.0106,0.063,216
181,-110.31,570.1,0.13,25.7,-0.0011,3.2272,-0.5669,0.0036,0.017,239
182,-117.63,571.3,0.13,27.2,-0.0002,99.3212,-0.5824,0.0048,0.017,249
183,-114.65,572.7,0.12,26.1,-0.0007,3.7267,-0.5492,0.0048,0.017,259
184,-117.66,573.7,0.12,26.6,-0.0012,49.4808,-0.5544,0.0052,0.019,268
185,-119.66,574.8,0.11,26.7,-0.0014,51.7766,-0.5589,0.0052,0.016,277
186,-118.06,575.7,0.11,26.1,-0.0009,12.3279,-0.5434,0.0047,0.031,288
187,-115.63,576.4,0.11,25.3,-0.0025,0.1317,-0.5468,0.0112,0.059,297
188,-111.82,575.3,0.11,24.3,-0.0011,2.7999,-0.5672,0.0079,0.040,307
189,-118.31,575.7,0.12,26.0,-0.0004,151.4904,-0.6311,0.0042,0.015,317
190,-115.60,575.3,0.12,25.3,-0.0007,2.7627,-0.5790,0.0021,0.013,326
191,-112.76,573.8,0.13,27.0,-0.0001,15.4346,-0.5793,0.0033,0.014,350
192,-119.07,573.1,0.13,28.6,0.0008,108.7491,-0.5990,0.0067,0.039,360
193,-117.50,573.8,0.13,27.9,-0.0001,2.7031,-0.5504,0.0035,0.014,369
194,-126.42,574.6,0.12,29.9,-0.0006,296.2883,-0.6266,0.0017,0.002,379
195,-125.08,575.2,0.12,29.5,-0.0016,9.4338,-0.5359,0.0062,0.033,389
196,-123.91,575.8,0.12,29.0,-0.0001,9.3266,-0.5192,0.0102,0.061,398
197,-121.21,576.6,0.11,28.1,-0.0041,0.1213,-0.5320,0.0115,0.066,408
198,-118.25,576.0,0.12,27.3,-0.0011,2.7307,-0.5422,0.0062,0.026,418
199,-124.09,576.5,0.12,28.7,-0.0008,175.1903,-0.5992,0.0017,0.005,428
200,-121.19,575.2,0.12,27.9,-0.0006,2.8298,-0.5605,0.0063,0.037,437
201,-30.59,600.0,0.00,0.0,-0.0026,0.1470,-0.5606,0.0078,0.045,13
202,-33.18,600.0,0.00,0.0,-0.0028,0.1709,-0.5737,0.0072,0.037,23
203,-123.82,600.0,0.00,22.4,0.0001,70.6624,-0.6124,0.0042,0.018,35
204,-110.23,600.0,0.00,19.4,-0.0005,10.2112,-0.6039,0.0070,0.030,53
205,-92.31,600.0,0.00,14.8,-0.0014,0.1463,-0.5785,0.0048,0.023,86
206,-78.27,584.2,0.05,12.1,-0.0001,2.9203,-0.6031,0.0066,0.037,119
207,-79.55,582.7,0.08,12.7,-0.0012,11.8482,-0.5899,0.0056,0.023,152
208,-78.44,576.2,0.11,12.7,-0.0012,14.5841,-0.5644,0.0031,0.013,183
209,-84.98,578.5,0.10,14.0,-0.0010,25.2113,-0.5341,0.0022,0.006,194
210,-83.80,581.0,0.09,13.7,-0.0015,6.3411,-0.5422,0.0062,0.039,205
211,-78.89,569.4,0.13,13.2,-0.0018,8.5024,-0.5234,0.0073,0.035,230
212,-93.65,568.3,0.14,16.8,-0.0004,131.2161,-0.5697,0.0034,0.010,240
213,-96.21,570.4,0.13,17.3,-0.0003,26.5768,-0.4953,0.0031,0.017,251
214,-110.11,572.8,0.12,20.4,-0.0009,145.5374,-0.5351,0.0040,0.025,262
215,-119.48,574.3,0.11,22.6,-0.0007,98.2707,-0.5308,0.0010,0.004,272
216,-118.74,575.7,0.11,22.2,-0.0002,17.6924,-0.5168,0.0041,0.023,282
217,-113.11,572.6,0.12,20.9,-0.0006,4.4400,-0.5183,0.0046,0.023,293
218,-107.23,565.5,0.14,19.8,-0.0008,13.7479,-0.5321,0.0060,0.033,326
219,-116.12,563.3,0.14,22.1,-0.0006,202.8601,-0.5917,0.0028,0.016,359
220,-111.96,560.9,0.15,21.1,-0.0002,4.9078,-0.5381,0.0018,0.007,390
221,-111.50,555.3,0.14,23.9,-0.0001,22.6527,-0.5283,0.0026,0.011,419
222,-116.06,557.0,0.14,24.9,-0.0010,84.8875,-0.5418,0.0034,0.009,430
223,-112.09,556.8,0.14,23.7,-0.0022,2.9533,-0.5104,0.0078,0.045,440
224,-121.26,558.3,0.14,25.9,-0.0005,141.1208,-0.5513,0.0029,0.009,451
225,-121.81,560.1,0.13,25.7,-0.0016,27.1802,-0.5123,0.0051,0.028,462
226,-121.55,561.4,0.13,25.4,-0.0012,33.8963,-0.5200,0.0024,0.008,473
227,-118.48,562.0,0.14,24.7,-0.0004,5.8274,-0.5082,0.0032,0.013,497
228,-36.26,600.0,0.00,0.0,-0.0014,0.2220,-0.5170,0.0077,0.041,33
229,-21.81,592.3,0.17,0.0,-0.0006,3.6829,-0.5079,0.0059,0.034,59
230,-173.43,595.4,0.10,35.6,0.0016,255.8407,-0.5436,0.0091,0.058,86
231,-142.92,567.5,0.07,29.1,-0.0003,10.9721,-0.5097,0.0043,0.021,139
232,-161.36,566.6,0.17,33.9,0.0002,96.8298,-0.5358,0.0013,0.005,169
233,-144.68,569.4,0.19,29.5,-0.0006,5.0394,-0.5033,0.0038,0.015,199
234,-178.70,573.2,0.17,38.0,-0.0008,281.6162,-0.5656,0.0035,0.012,231
235,-161.51,573.7,0.18,33.5,-0.0007,9.0893,-0.5353,0.0031,0.008,257
236,-151.39,575.4,0.19,31.1,-0.0009,21.9699,-0.5203,0.0052,0.021,284
237,-142.45,577.5,0.17,28.7,-0.0016,1.3354,-0.4998,0.0051,0.021,310
238,-129.58,566.2,0.21,25.8,-0.0005,41.8728,-0.5455,0.0041,0.016,336
239,-133.89,569.0,0.21,27.0,-0.0010,73.9183,-0.5180,0.0020,0.004,363
240,-122.69,563.0,0.26,24.7,-0.0007,9.7493,-0.4930,0.0069,0.037,393
241,-113.91,551.6,0.27,28.6,-0.0012,6.7151,-0.5045,0.0042,0.012,422
242,-116.96,550.4,0.29,29.2,-0.0007,97.3248,-0.5464,0.0057,0.011,431
243,-113.33,551.4,0.29,28.0,-0.0006,24.4189,-0.5080,0.0007,0.000,440
244,-126.37,552.2,0.30,31.1,-0.0011,138.6667,-0.5393,0.0039,0.013,449
245,-122.76,554.3,0.29,30.0,-0.0016,10.9574,-0.5064,0.0033,0.017,458
246,-118.39,553.2,0.31,28.8,-0.0003,13.5616,-0.4955,0.0022,0.007,468
247,-112.90,553.0,0.32,27.4,-0.0011,7.0466,-0.4694,0.0058,0.025,477
248,-112.02,551.5,0.34,27.1,-0.0011,25.5287,-0.4808,0.0054,0.021,487
249,-10.55,568.0,0.33,0.0,-0.0005,3.5132,-0.4748,0.0066,0.028,13
250,-17.98,534.1,0.43,2.0,-0.0013,9.6869,-0.4812,0.0054,0.023,22
251,-35.26,536.1,0.27,18.7,-0.0005,8.0373,-0.4513,0.0040,0.015,45
252,-66.55,543.7,0.33,22.9,0.0001,79.6780,-0.4610,0.0068,0.036,55
253,-60.75,545.2,0.33,19.1,-0.0011,3.7328,-0.4379,0.0060,0.024,64
254,-111.60,550.9,0.32,30.2,-0.0003,169.4784,-0.5149,0.0024,0.009,74
255,-110.66,556.8,0.28,28.7,-0.0010,12.8183,-0.4520,0.0042,0.021,83
256,-117.57,562.7,0.24,28.8,-0.0007,34.9955,-0.4812,0.0043,0.014,93
